Headline,Source,Published,Team Name,Type,Uploaded By,Video ID,Published Platform,Published URL
Headline_604e09000578,https://obfuscated.source.example/17f2fdc217fddfc5,No,Unknown,special reports,Anamika Singh,23717335,,
Headline_99d01b87d3bf,https://obfuscated.source.example/3aae0a3100955f63,No,Unknown,special reports,Anamika Singh,60472382,,
Headline_4cbe180ca13d,https://obfuscated.source.example/7fb70542e4c44012,No,Unknown,special reports,Anamika Singh,1354896522,,
Headline_725cbfb1cf56,https://obfuscated.source.example/ed21e4144ae232c1,No,Unknown,special reports,Anamika Singh,854021618,,
Headline_29fb3305b4af,https://obfuscated.source.example/a8125e775876285e,No,Unknown,special reports,Anamika Singh,888445520,,
Headline_0a4729204929,https://obfuscated.source.example/67377b714b09ad82,No,Unknown,special reports,Anamika Singh,907706759,,
Headline_5faa7cf79b9a,https://obfuscated.source.example/7b3ee885c44f8f9d,No,Unknown,special reports,Anamika Singh,983578274,,
Headline_357fdae759d5,https://obfuscated.source.example/8908d9fd321598c5,No,Unknown,special reports,Anamika Singh,1246294434,,
Headline_75a2e4a6ca37,https://obfuscated.source.example/6adcc3476e37aed9,No,Unknown,special reports,Anamika Singh,1165097248,,
Headline_7570966ad582,https://obfuscated.source.example/00f96f498df06cf3,No,Unknown,interview,Rakesh (devops@frammer.com),455094650,,
Headline_dd856eaf2a00,https://obfuscated.source.example/f2a1a55f6900dac1,No,Unknown,interview,Rakesh (devops@frammer.com),318019332,,
Headline_620b0ed3e2e4,https://obfuscated.source.example/8ce6f0754f5c3aa1,No,Unknown,interview,Rakesh (devops@frammer.com),1830948329,,
Headline_c2a4ec46ce54,https://obfuscated.source.example/4d8150d440ceb523,No,Unknown,interview,Rakesh (devops@frammer.com),1539598566,,
Headline_ec26c6d2bec6,https://obfuscated.source.example/2ae54a7f46c560ca,No,Unknown,interview,Rakesh (devops@frammer.com),648870905,,
Headline_c2a4ec46ce54,https://obfuscated.source.example/d64d20fca9697f67,No,Unknown,interview,Rakesh (devops@frammer.com),497653800,,
Headline_aa2235d0b4ad,https://obfuscated.source.example/4f9d48de5c1a546a,No,Unknown,interview,Rakesh (devops@frammer.com),1782238235,,
Headline_770ea371def4,https://obfuscated.source.example/ad5a92942a76ee02,No,Unknown,debate,Neha,1559517318,,
Headline_8bf881bfdc95,https://obfuscated.source.example/ad5a92942a76ee02,No,Unknown,interview,Neha,1503404232,,
Headline_d95ed789622e,https://obfuscated.source.example/3254b14d98d5880a,No,Unknown,debate,Neha,529561415,,
Headline_930fea177ebd,https://obfuscated.source.example/9dd8bca95ed5d4a9,No,Unknown,interview,Neha,1930375947,,
Headline_8ac501268265,https://obfuscated.source.example/4d23e68fef54166f,No,Unknown,interview,Neha,1421196193,,
Headline_245d95c7a7a3,https://obfuscated.source.example/05ce76d371671e59,No,Unknown,interview,Neha,409783328,,
Headline_7e40ea791fce,https://obfuscated.source.example/a1419a3e577200e7,No,Unknown,interview,Neha,272981039,,
Headline_cde1ce77d19e,https://obfuscated.source.example/46d277e87a4648f9,No,Unknown,debate,Neha,1592652278,,
Headline_eeb600ada36f,https://obfuscated.source.example/be6770ccb026d081,No,Unknown,debate,Neha,1335658902,,
Headline_5941d2a05885,https://obfuscated.source.example/bb8adeed369cbe23,No,Unknown,interview,Neha,725167677,,
Headline_fab121801ffb,https://obfuscated.source.example/42df27c969c3032e,No,Unknown,interview,Neha,1396651735,,
Headline_3918dcaf040b,https://obfuscated.source.example/904a4915cdb221ce,No,Unknown,interview,Neha,712631076,,
Headline_ae4c63ddd31f,https://obfuscated.source.example/904a4915cdb221ce,No,Unknown,debate,Neha,986151010,,
,https://obfuscated.source.example/309ade5fecf1e4d6,No,Unknown,interview,Neha,392121003,,
,https://obfuscated.source.example/595259a15717d518,No,Unknown,interview,Neha,590804839,,
Headline_975322252c61,https://obfuscated.source.example/b941c1ba6623160e,No,Unknown,special reports,Neha,1179921109,,
Headline_a6fec5fe9d17,https://obfuscated.source.example/9fdb882945ae6c01,No,Unknown,interview,Neha,1663066074,,
Headline_32963f05abc2,https://obfuscated.source.example/70b5efd532dd84ee,No,Unknown,interview,Neha,263038498,,
Headline_260ee57e0fe6,https://obfuscated.source.example/701e2b30fd5e2837,No,Unknown,interview,Neha,1644658402,,
Headline_b75ff1b8cc8a,https://obfuscated.source.example/b023299bae2b6195,No,Unknown,press conference,Neha,513653348,,
Headline_b44322e8c3a3,https://obfuscated.source.example/ec0989cc059a815f,No,Unknown,speech,Neha,915879373,,
Headline_3d401fbaa658,https://obfuscated.source.example/f1c536701436738f,No,Unknown,special reports,Neha,1498573442,,
Headline_3e4a82ddae96,https://obfuscated.source.example/cb75c53c03b979b2,No,Unknown,news bulletin,Neha,1120063232,,
Headline_08a1ed0d24b3,https://obfuscated.source.example/9c9cdbfb85a70da1,No,Unknown,special reports,Neha,952321028,,
Headline_878774c966e4,https://obfuscated.source.example/d0bf63b6307a6d1b,No,Unknown,special reports,Neha,263183577,,
Headline_0be7eb41639e,https://obfuscated.source.example/db1fcfc6679b06df,No,Unknown,special reports,Neha,1013547510,,
Headline_31b301ae877f,https://obfuscated.source.example/feb1afcf5ee585fc,No,Unknown,press conference,Neha,1163795198,,
Headline_4cad21624653,https://obfuscated.source.example/4d1e7a64ea5503b3,No,Unknown,news bulletin,Neha,1099805069,,
Headline_e9f605e25c30,https://obfuscated.source.example/6a5d1473e50e67e3,No,Unknown,debate,Neha,173660954,,
Headline_f2eb79773bca,https://obfuscated.source.example/a99695b2e3a0c1ea,No,Unknown,press conference,Neha,97636744,,
Headline_94a06cae16f5,https://obfuscated.source.example/29caf98bce196d41,No,Unknown,press conference,Neha,904790222,,
Headline_96971cfc4eca,https://obfuscated.source.example/5ddaa7f7f65e546a,No,Unknown,press conference,Neha,1836274702,,
Headline_48788683c6ca,https://obfuscated.source.example/02a46d72cccf4bfe,No,Unknown,news bulletin,Neha,476272473,,
Headline_700a4aa1f477,https://obfuscated.source.example/803aecf8c05fc23e,No,Unknown,news bulletin,Neha,109174313,,
Headline_b219bee7b21d,https://obfuscated.source.example/6baded67991b7aa9,No,Unknown,debate,Neha,1886935931,,
Headline_184d3d289456,https://obfuscated.source.example/a7b9f07c5601818a,No,Unknown,debate,Neha,463390156,,
Headline_e2b1ca6f0006,https://obfuscated.source.example/e7114e4a11b1b0a1,No,Unknown,news bulletin,Neha,866377394,,
Headline_47375ca05c51,https://obfuscated.source.example/5648e5564dbc8806,No,Unknown,speech,Neha,134987326,,
Headline_6366c2a3f74b,https://obfuscated.source.example/1e9c40227fd83bb8,No,Unknown,speech,Neha,1699791711,,
Headline_b06e5448b83a,https://obfuscated.source.example/565849bcbc6e6198,No,Unknown,special reports,Neha,585878246,,
Headline_124d84617a44,https://obfuscated.source.example/565849bcbc6e6198,No,Unknown,press conference,Neha,1350148659,,
Headline_e8bad7c0481a,https://obfuscated.source.example/33d473808d6208fc,No,Unknown,speech,Neha,271766524,,
Headline_bea3eda3783d,https://obfuscated.source.example/8a2af86f39f23d7a,No,Unknown,speech,Neha,36810847,,
Headline_d4710d9f9b06,https://obfuscated.source.example/bba8ce3cce109d1b,No,Unknown,special reports,Neha,839735171,,
Headline_da4d13951845,https://obfuscated.source.example/b8388c0ed5d097af,No,Unknown,debate,Neha,1750484701,,
Headline_3adfcce87757,https://obfuscated.source.example/b8388c0ed5d097af,No,Unknown,interview,Neha,598424036,,
Headline_83e8d7b76ccf,https://obfuscated.source.example/b8388c0ed5d097af,No,Unknown,news bulletin,Neha,1070701974,,
,https://obfuscated.source.example/b8388c0ed5d097af,No,Unknown,news bulletin,Neha,448469222,,
Headline_61bb40dfb177,https://obfuscated.source.example/b8388c0ed5d097af,No,Unknown,speech,Neha,1762581228,,
Headline_1f942e78d368,https://obfuscated.source.example/29b9df55a8d51227,No,Unknown,press conference,Neha,171116174,,
Headline_9743f0001130,https://obfuscated.source.example/bad458abcdceafe5,No,Unknown,special reports,Neha,1097583786,,
Headline_e40b0e9cac41,https://obfuscated.source.example/8c6f71d49ef92964,No,Unknown,special reports,Neha,872141340,,
,https://obfuscated.source.example/8c6f71d49ef92964,No,Unknown,,Neha,982680611,,
Headline_2c6cf1283c87,https://obfuscated.source.example/25758b7b2604c91a,No,Unknown,press conference,Neha,1902041612,,
Headline_255ca2f09f6f,https://obfuscated.source.example/8f535f3d2680496b,No,Unknown,press conference,Neha,330626207,,
Headline_97a4fe8b9a4c,https://obfuscated.source.example/9e41a7bacf28131d,No,Unknown,special reports,Neha,424623942,,
Headline_ddd47d65e2e4,https://obfuscated.source.example/41693da9640c15ae,No,Unknown,interview,Neha,1244473018,,
Headline_180ce1c1bdc6,https://obfuscated.source.example/be4acb16b4e1f738,No,Unknown,special reports,Neha,836594930,,
Headline_4c746294b553,https://obfuscated.source.example/d58e03ad14addd1b,No,Unknown,special reports,Neha,692440149,,
Headline_6b3584e6f970,https://obfuscated.source.example/e5990fbf2d549ef0,No,Unknown,special reports,Neha,1634096923,,
Headline_06fa4341c6a3,https://obfuscated.source.example/3e07c2bcfc5c18ff,No,Unknown,special reports,Neha,1845537345,,
Headline_c1807c298c0d,https://obfuscated.source.example/05baf05cb30ceb1b,No,Unknown,speech,Neha,534096553,,
Headline_439c538a442c,https://obfuscated.source.example/3e20bb255ad98818,No,Unknown,speech,Neha,1323366956,,
Headline_d0ce990d4538,https://obfuscated.source.example/8095c9c351ddb3c0,No,Unknown,press conference,Neha,1269737021,,
Headline_85c5b3541896,https://obfuscated.source.example/7bc4be6806903e36,No,Unknown,special reports,Neha,572964792,,
Headline_b736f616161a,https://obfuscated.source.example/d514168917b9a8bd,No,Unknown,press conference,Neha,453094388,,
Headline_f79b39934634,https://obfuscated.source.example/5598482d07114cd2,No,Unknown,speech,Neha,1595411077,,
Headline_4a9464cb4e0c,https://obfuscated.source.example/75d57b425f0ff578,No,Unknown,interview,Neha,1960801051,,
Headline_5a4a9e11ba89,https://obfuscated.source.example/d911d00cff60b552,No,Unknown,special reports,Neha,1304261659,,
Headline_4d85d635cc76,https://obfuscated.source.example/61ce0870b143dc4d,No,Unknown,special reports,Neha,938194539,,
Headline_f55f37a6d219,https://obfuscated.source.example/6a4f48c2c83fbb6d,No,Unknown,special reports,Neha,801312299,,
Headline_5a536fd31b1b,https://obfuscated.source.example/6b9c7ddcfe83512f,No,Unknown,special reports,Neha,1788896595,,
Headline_90a1303a6390,https://obfuscated.source.example/3312ded88078c36e,No,Unknown,special reports,Neha,1686028061,,
Headline_8a37cfb710a8,https://obfuscated.source.example/7f08a9a08ec36bdf,No,Unknown,press conference,Neha,1646176189,,
Headline_ea863cd60a1e,https://obfuscated.source.example/b6a783b7a5180e0e,No,Unknown,interview,Neha,168973642,,
Headline_70d3ed7ec6ae,https://obfuscated.source.example/06d1fd9ef33570c0,No,Unknown,speech,Neha,1393051263,,
Headline_f8297ec42d36,https://obfuscated.source.example/5ab92c3d2024f145,No,Unknown,interview,Neha,1320445433,,
Headline_c2721b8aed16,https://obfuscated.source.example/26efc90a38c7b094,No,Unknown,interview,Neha,524363766,,
Headline_44fd0d244574,https://obfuscated.source.example/fab2878ca1f80941,No,Unknown,interview,Neha,1701199195,,
Headline_a68fd96d262a,https://obfuscated.source.example/840bdaf698bfd5d8,No,Unknown,interview,Neha,1530287576,,
Headline_f0006991b7e0,https://obfuscated.source.example/e73fe357a82ef3f9,No,Unknown,special reports,Neha,1365814502,,
Headline_b2cc15eb1564,https://obfuscated.source.example/e48c6e231533a8cc,No,Unknown,speech,Trivendra,1747314877,,
Headline_e4e666ab193e,https://obfuscated.source.example/678d0754da0d8763,No,Unknown,speech,Trivendra,472669408,,
Headline_54b241d9685b,https://obfuscated.source.example/b91edb8b315096fb,No,Unknown,speech,Trivendra,1168799104,,
Headline_2dadcbf7216f,https://obfuscated.source.example/2788dd3c6525d871,No,Unknown,speech,Trivendra,978974072,,
Headline_0b85e91f5ab1,https://obfuscated.source.example/459ececcff8a6dd3,No,Unknown,speech,Trivendra,634324250,,
,https://obfuscated.source.example/f50f363630ed48d8,No,Unknown,speech,Trivendra,1834414013,,
Headline_5068c15af55c,https://obfuscated.source.example/50ebac1d65d755ce,No,Unknown,news bulletin,Trivendra,2235000,,
Headline_0f3848178c34,https://obfuscated.source.example/a6ba9c37e5563f16,No,Unknown,news bulletin,Trivendra,1365863027,,
Headline_3d5929c78e81,https://obfuscated.source.example/d785884db802bc41,No,Unknown,news bulletin,Trivendra,1514271692,,
Headline_eb4c4ef67e84,https://obfuscated.source.example/df932f436488f631,No,Unknown,news bulletin,Trivendra,1549326056,,
Headline_edddf20381b9,https://obfuscated.source.example/4d9012b91498b399,No,Unknown,news bulletin,Trivendra,1309025538,,
Headline_68f27a7ef1db,https://obfuscated.source.example/c14d079bc891a488,No,Unknown,speech,sukhleen,29859174,,
Headline_63440e68f403,https://obfuscated.source.example/2c6a86e857f5e6db,No,Unknown,speech,sukhleen,707191493,,
Headline_06cc94d00fdb,https://obfuscated.source.example/14ce06f5f7a15864,No,Unknown,speech,sukhleen,46159303,,
Headline_d567f64a3c66,https://obfuscated.source.example/e21c7b651dd91a03,No,Unknown,speech,sukhleen,146412954,,
Headline_ef4474a80d86,https://obfuscated.source.example/d45e3cb81f14629d,No,Unknown,special reports,sukhleen,1792766600,,
Headline_bc1630ce55ee,https://obfuscated.source.example/f6ec3a07b1c9de50,No,Unknown,press conference,sukhleen,953945764,,
Headline_19dc304a476a,https://obfuscated.source.example/f7d19ded24475fe3,No,Unknown,special reports,sukhleen,826506464,,
Headline_defc6fe415a7,https://obfuscated.source.example/e4f013aff3d12abd,No,Unknown,special reports,sukhleen,514817842,,
Headline_9d3ae45dcbea,https://obfuscated.source.example/b558a1022488e7be,No,Unknown,special reports,sukhleen,1157117161,,
Headline_f7b4f9150ad0,https://obfuscated.source.example/3e5d10e2c8bc0e48,No,Unknown,speech,sukhleen,1450046123,,
Headline_1a51841e9ed8,https://obfuscated.source.example/7f4574d34768292e,No,Unknown,press conference,sukhleen,1048511127,,
Headline_350bfd3d6350,https://obfuscated.source.example/e9e99caf57426c0f,No,Unknown,press conference,sukhleen,1902282702,,
Headline_fd46f0975e48,https://obfuscated.source.example/9090d7cc8a7bed84,No,Unknown,press conference,sukhleen,722804538,,
Headline_ae0fcd3df7dc,https://obfuscated.source.example/83f665edfd7f50d6,No,Unknown,debate,sukhleen,1388146037,,
Headline_8ab429646ebe,https://obfuscated.source.example/d5e847e9507b97ab,No,Unknown,interview,sukhleen,939585183,,
Headline_330466569ca2,https://obfuscated.source.example/b8901851fab250f3,No,Unknown,speech,sukhleen,80705119,,
Headline_91744cf7ab4c,https://obfuscated.source.example/33338d3b2c11f905,No,Unknown,interview,sukhleen,249546199,,
Headline_30db39a53167,https://obfuscated.source.example/47ebdbc8937efb97,No,Unknown,interview,sukhleen,871959784,,
Headline_5d91b409fdf6,https://obfuscated.source.example/e8a282682107c21f,No,Unknown,interview,sukhleen,1734463155,,
Headline_fd8948b69cb1,https://obfuscated.source.example/80e131d680711be7,No,Unknown,news bulletin,Trivendra,1561777264,,
Headline_813630aeebff,https://obfuscated.source.example/db3115e5a4af9ee5,No,Unknown,news bulletin,Trivendra,278710077,,
Headline_662e632a2621,https://obfuscated.source.example/2dd6b87d59fb0722,No,Unknown,news bulletin,Trivendra,1090558393,,
Headline_c90215c5cfe2,https://obfuscated.source.example/fbcfcac6f0d58bbd,No,Unknown,news bulletin,Trivendra,1986196019,,
Headline_fe31d9c4e7c7,https://obfuscated.source.example/31956c39cd78ee0d,No,Unknown,news bulletin,Trivendra,1060324619,,
Headline_4666563363fb,https://obfuscated.source.example/cb7b6a82fb721933,No,Unknown,news bulletin,Trivendra,1081396733,,
Headline_7806815c50de,https://obfuscated.source.example/00d145b319f2b8e6,No,Unknown,news bulletin,Trivendra,843120422,,
Headline_c1521753f11c,https://obfuscated.source.example/8f991b3aa8a41abb,No,Unknown,news bulletin,Trivendra,911695234,,
Headline_ced34b5a45f2,https://obfuscated.source.example/b14d69533a29ddfc,No,Unknown,news bulletin,Trivendra,1292262512,,
Headline_a29c4df0eac9,https://obfuscated.source.example/49bfd9a010717dbd,No,Unknown,news bulletin,Trivendra,636028516,,
Headline_a78cdfe0ab9e,https://obfuscated.source.example/99da8fd1852e5e7f,No,Unknown,news bulletin,Trivendra,1223380592,,
Headline_434bad17f02c,https://obfuscated.source.example/b8901851fab250f3,No,Unknown,press conference,sukhleen,158428240,,
Headline_a80d9794d1b1,https://obfuscated.source.example/b8901851fab250f3,No,Unknown,special reports,sukhleen,1145815738,,
Headline_12130b9990a6,https://obfuscated.source.example/b8901851fab250f3,No,Unknown,speech,sukhleen,470575216,,
Headline_15dc2a283459,https://obfuscated.source.example/b8901851fab250f3,No,Unknown,interview,sukhleen,11506305,,
Headline_cfb10788575d,https://obfuscated.source.example/b8901851fab250f3,No,Unknown,debate,sukhleen,1765390555,,
Headline_a9a6ab1b07dc,https://obfuscated.source.example/4ff276c742f23fc5,No,Unknown,speech,Rakesh (devops@frammer.com),221099573,,
Headline_7de704f086a4,https://obfuscated.source.example/58fcc898ce30fc35,No,Unknown,speech,Rakesh (devops@frammer.com),141951830,,
Headline_f8bc201694d4,https://obfuscated.source.example/d64d20fca9697f67,No,Unknown,speech,Rakesh (devops@frammer.com),1196777444,,
Headline_fdcd5c04b87b,https://obfuscated.source.example/4ccc5a5ddce72667,No,Unknown,interview,Rakesh (devops@frammer.com),1482069727,,
,https://obfuscated.source.example/28426227c4843fe5,No,Unknown,interview,Rakesh (devops@frammer.com),1753488608,,
,https://obfuscated.source.example/d64d20fca9697f67,No,Unknown,interview,Rakesh (devops@frammer.com),577034624,,
Headline_3ca437a37a33,https://obfuscated.source.example/1718979b85b91467,No,Unknown,interview,Rakesh (devops@frammer.com),1028910482,,
